"","FID1","IID1","FID2","IID2","NSNP","HETHET","IBS0","KINSHIP"
"1",0,"E13M",0,"E10F",1125953,0.0425977,0.0334694,-0.153469
"2",0,"E14F",0,"E10F",1155477,0.0300586,0.0426049,-0.347842
"3",0,"E14F",0,"E13M",1153249,0.0372539,0.0372773,-0.298558
"4",0,"E18F",0,"E10F",1149363,0.0481354,0.0266774,-0.0915038
"5",0,"E18F",0,"E13M",1147150,0.0528004,0.0270156,-0.0271812
"6",0,"E18F",0,"E14F",1177151,0.038532,0.0293327,-0.236458
"7",0,"E19M",0,"E10F",1089916,0.0414518,0.0378203,-0.20875
"8",0,"E19M",0,"E13M",1087774,0.0555235,0.0236759,0.0259306
"9",0,"E19M",0,"E14F",1116886,0.0404723,0.0280593,-0.191746
"10",0,"E19M",0,"E18F",1110905,0.0534168,0.0282238,-0.0269875
"11",0,"E24M",0,"E10F",1148032,0.0407445,0.0369371,-0.188281
"12",0,"E24M",0,"E13M",1145730,0.0552617,0.0133915,0.109986
"13",0,"E24M",0,"E14F",1175686,0.0323411,0.0401604,-0.351014
"14",0,"E24M",0,"E18F",1169459,0.0498803,0.0290895,-0.0614485
"15",0,"E24M",0,"E19M",1109412,0.0525179,0.021542,0.0262725
"16",0,"E25F",0,"E10F",1083792,0.0450594,0.031399,-0.123349
"17",0,"E25F",0,"E13M",1081631,0.0598014,0.00036334,0.232136
"18",0,"E25F",0,"E14F",1110243,0.0354166,0.0368316,-0.305097
"19",0,"E25F",0,"E18F",1104479,0.0550739,0.0246487,0.00117868
"20",0,"E25F",0,"E19M",1046585,0.0516623,0.0280101,-0.0226613
"21",0,"E25F",0,"E24M",1102921,0.0522893,0.0195907,0.0466259
"22",0,"E27M",0,"E10F",1013949,0.0486504,0.0311968,-0.138848
"23",0,"E27M",0,"E13M",1011864,0.0602611,0.0215276,0.0378008
"24",0,"E27M",0,"E14F",1038961,0.0399264,0.032416,-0.271185
"25",0,"E27M",0,"E18F",1033249,0.05943,0.0245633,0.03139
"26",0,"E27M",0,"E19M",978531,0.061203,0.0128959,0.115068
"27",0,"E27M",0,"E24M",1031854,0.0577398,0.0190211,0.0442839
"28",0,"E27M",0,"E25F",973349,0.0590559,0.0227493,0.0247316
"29",0,"E28F",0,"E10F",1081707,0.0571791,0.000403067,0.204775
"30",0,"E28F",0,"E13M",1079799,0.0505687,0.025514,-0.0134497
"31",0,"E28F",0,"E14F",1108074,0.0373513,0.0352088,-0.290927
"32",0,"E28F",0,"E18F",1102188,0.0582469,0.015648,0.091231
"33",0,"E28F",0,"E19M",1044599,0.0491835,0.0299139,-0.0455747
"34",0,"E28F",0,"E24M",1100774,0.0493326,0.0313243,-0.0706446
"35",0,"E28F",0,"E25F",1039070,0.052855,0.0246259,0.00384982
"36",0,"E28F",0,"E27M",971383,0.0575612,0.0243117,0.0164214
"37",0,"E29M",0,"E10F",1146989,0.0536727,0.000276376,0.198456
"38",0,"E29M",0,"E13M",1144813,0.0495435,0.0291218,-0.0389332
"39",0,"E29M",0,"E14F",1174672,0.0375594,0.0357087,-0.286996
"40",0,"E29M",0,"E18F",1168564,0.0588594,0.0161035,0.0861201
"41",0,"E29M",0,"E19M",1108409,0.0487266,0.0306214,-0.0510013
"42",0,"E29M",0,"E24M",1167031,0.0469962,0.031138,-0.0713424
"43",0,"E29M",0,"E25F",1102111,0.0521381,0.0240983,0.0120474
"44",0,"E29M",0,"E27M",1031426,0.054828,0.023675,0.00447992
"45",0,"E29M",0,"E28F",1100061,0.0843362,0.00565332,0.276619
"46",0,"E30M",0,"E10F",1136853,0.0460965,0.0265751,-0.105509
"47",0,"E30M",0,"E13M",1134747,0.0512802,0.0286134,-0.0509668
"48",0,"E30M",0,"E14F",1164411,0.0399885,0.0370969,-0.31959
"49",0,"E30M",0,"E18F",1158204,0.0566135,0.0240139,0.0269802
"50",0,"E30M",0,"E19M",1098693,0.0527445,0.0313482,-0.0586607
"51",0,"E30M",0,"E24M",1156872,0.0523861,0.0246233,-0.0204022
"52",0,"E30M",0,"E25F",1092307,0.0554084,0.0216798,0.0209739
"53",0,"E30M",0,"E27M",1021818,0.0578273,0.0247011,0.0280602
"54",0,"E30M",0,"E28F",1090277,0.0562197,0.0223145,0.0282394
"55",0,"E30M",0,"E29M",1155851,0.0554146,0.0205174,0.0337224
"56",0,"E31M",0,"E10F",1153788,0.0399831,0.0336162,-0.157231
"57",0,"E31M",0,"E13M",1151562,0.0564164,0.00893916,0.149232
"58",0,"E31M",0,"E14F",1181674,0.0328805,0.0432987,-0.378051
"59",0,"E31M",0,"E18F",1175574,0.0503856,0.0292708,-0.0655668
"60",0,"E31M",0,"E19M",1115469,0.0484666,0.0235748,-0.0104611
"61",0,"E31M",0,"E24M",1174045,0.0657573,0.00748183,0.205222
"62",0,"E31M",0,"E25F",1108636,0.0546194,0.0195718,0.0535154
"63",0,"E31M",0,"E27M",1037173,0.0549465,0.0228901,-0.0015876
"64",0,"E31M",0,"E28F",1106506,0.048748,0.0291783,-0.060333
"65",0,"E31M",0,"E29M",1173012,0.0463559,0.0303492,-0.0727852
"66",0,"E31M",0,"E30M",1162818,0.0523607,0.025673,-0.0331955
"67",0,"E32M",0,"E10F",1104119,0.0500671,0.0201491,0.00573057
"68",0,"E32M",0,"E13M",1101899,0.0452619,0.0293148,-0.0552112
"69",0,"E32M",0,"E14F",1130951,0.0367938,0.0404925,-0.333135
"70",0,"E32M",0,"E18F",1124924,0.054553,0.0230398,0.00891957
"71",0,"E32M",0,"E19M",1066229,0.0488891,0.0338802,-0.084472
"72",0,"E32M",0,"E24M",1123661,0.0480821,0.0301158,-0.0521063
"73",0,"E32M",0,"E25F",1060724,0.0501045,0.0266026,-0.0149767
"74",0,"E32M",0,"E27M",991747,0.051983,0.0262204,-0.0330131
"75",0,"E32M",0,"E28F",1058476,0.0633373,0.000407189,0.235167
"76",0,"E32M",0,"E29M",1122580,0.0569438,0.0126708,0.119943
