"","sample","length_bp","FROH"
"1","E10F-1",723722146,29.315854007992
"2","E13M-1",408271407,16.5378730351157
"3","E14F-1",976053664,39.5370611165319
"4","E18F-1",293730526,11.8981590732014
"5","E19M-2A",404740911,16.3948630334405
"6","E24M-1",496815972,20.12455275065
"7","E25F-1",406619129,16.4709441164743
"8","E27M-1",220880553,8.94722108580125
"9","E28F-1",273122574,11.0633915929263
"10","E29M-1",348028527,14.0976112787745
"11","E30M-1",280515862,11.362871929192
"12","E31M-2",478918664,19.3995854805949
"13","E32M-1",431640154,17.4844721950117
"14","E33M-1",198389743,8.03618456974929
"15","E34M-2A",490262380,19.8590860278727
"16","E35M-2A",281042389,11.3841999882387
"17","E36F-2A",518490645,21.0025299589624
"18","E37F-1",820631096,33.2413503410388
"19","LAO01M-2A",842798215,34.1392750873983
"20","LAO03M-1",1221476008,49.4783979220567
"21","LAO06M-2A",1063685530,43.086770081917
"22","LO01F-1",246942728,10.0029230864289
"23","LO03M-1",432930449,17.5367382477452
"24","LO04M-1",920488796,37.2862918575498
"25","OF289-2",598561183,24.2459517822727
"26","OF304-1A",484522728,19.6265896188314
"27","OM258-2",553975900,22.4399331955028
"28","OM270-2",595636303,24.1274735022521
"29","OM274-3B",533739794,21.6202281022359
"30","OM276-1",588164391,23.8248083391599
"31","OM279-1",586671650,23.7643417948243
"32","OM283-2",969724149,39.2806710935003
"33","OM290-2",699607554,28.3390428623865
"34","OM292-2",794008830,32.1629607025132
"35","OM301-1A",532676056,21.5771392067488
"36","OM318-2",709167243,28.7262777268089
"37","OM331-1A",561790746,22.7564896055798
"38","Y22F-1",465300384,18.8479490403857
"39","Y27M-1",474663538,19.2272228504183
"40","Y28M-1",622171008,25.2023163023855
"41","Y29F-1",564173519,22.8530087266102
"42","Y30F-1",596082751,24.1455577967048
"43","Y31F-1",600092073,24.3079636303146
"44","Y32F-1",405912035,16.4423018197192
