"","Category","Count","Total_Length_MB","Proportion_Length","Proportion_count"
"1","<1Mb",20,16.950227,0.000685776461170616,0.00906207521522429
"2","1-2Mb",258,393.142028,0.0159058370545291,0.116900770276393
"3","2-4Mb",488,1433.528689,0.0579980569775834,0.221114635251473
"4","4-6Mb",298,1479.274453,0.0598488503710563,0.135024920706842
"5","6-8Mb",223,1543.158721,0.0624334958294041,0.101042138649751
"6","8-10MB",162,1454.063644,0.0588288652475964,0.0734028092433167
"7","10-20Mb",420,6001.551336,0.242812242970897,0.19030357951971
"8","20Mb-30Mb",170,4110.328448,0.166296681296265,0.0770276393294064
"9","30Mb-40Mb",73,2505.356873,0.101362345786603,0.0330765745355686
"10","40Mb-50Mb",39,1731.264454,0.0700439239317915,0.0176710466696874
"11","50Mb-60Mb",16,876.208163,0.0354498457909116,0.00724966017217943
"12","60Mb-70Mb",13,830.710744,0.0336091000006507,0.00589034888989579
"13","70Mb-80Mb",15,1133.631511,0.0458647430435638,0.00679655641141822
"14","80Mb-90Mb",3,258.338493,0.0104519224145901,0.00135931128228364
"15","90Mb-100Mb",4,372.959222,0.0150892761155415,0.00181241504304486
"16",">100Mb",5,576.372897,0.0233190367078456,0.00226551880380607
