"","pop","Category","Count","Total_Length_MB","n_individuals","Proportion_Count","Proportion_Length","Avg_ROH_Count_Per_Individual","Avg_ROH_Length_MB_Per_Individual"
"1","ranch","<1Mb",13,10.772142,23,0.0121951219512195,0.000979231959407697,0.565217391304348,0.468354
"2","ranch","1-2Mb",127,191.075145,23,0.119136960600375,0.0173695156109583,5.52173913043478,8.307615
"3","ranch","2-4Mb",258,756.155717,23,0.24202626641651,0.068737660938302,11.2173913043478,32.8763355217391
"4","ranch","4-6Mb",142,712.142848,23,0.133208255159475,0.0647367103427728,6.17391304347826,30.9627325217391
"5","ranch","6-8Mb",116,799.484223,23,0.108818011257036,0.0726764001257902,5.04347826086957,34.7601836086957
"6","ranch","8-10MB",68,606.196773,23,0.0637898686679174,0.0551057769022552,2.95652173913043,26.3563814347826
"7","ranch","10-20Mb",203,2890.181079,23,0.190431519699812,0.262729332850627,8.82608695652174,125.660046913043
"8","ranch","20Mb-30Mb",77,1864.400578,23,0.0722326454033771,0.169481671436914,3.34782608695652,81.0608946956522
"9","ranch","30Mb-40Mb",26,886.441842,23,0.024390243902439,0.0805812049119505,1.1304347826087,38.5409496521739
"10","ranch","40Mb-50Mb",13,574.176398,23,0.0121951219512195,0.0521949932760999,0.565217391304348,24.9641912173913
"11","ranch","50Mb-60Mb",5,269.575769,23,0.00469043151969981,0.0245055448105592,0.217391304347826,11.7206856086957
"12","ranch","60Mb-70Mb",5,320.939404,23,0.00469043151969981,0.0291747102321951,0.217391304347826,13.9538871304348
"13","ranch","70Mb-80Mb",9,690.677406,23,0.00844277673545966,0.0627854134856378,0.391304347826087,30.0294524347826
"14","ranch","90Mb-100Mb",2,183.322487,23,0.00187617260787992,0.0166647671510923,0.0869565217391304,7.97054291304348
"15","ranch",">100Mb",2,245.061158,23,0.00187617260787992,0.0222770659654374,0.0869565217391304,10.6548329565217
"16","refuge","<1Mb",7,6.178085,21,0.00613496932515337,0.000450421280248205,0.333333333333333,0.294194523809524
"17","refuge","1-2Mb",131,202.066883,21,0.114811568799299,0.0147319475430695,6.23809523809524,9.62223252380952
"18","refuge","2-4Mb",230,677.372972,21,0.201577563540754,0.0493847529216208,10.952380952381,32.2558558095238
"19","refuge","4-6Mb",156,767.131605,21,0.136722173531989,0.0559287221919026,7.42857142857143,36.5300764285714
"20","refuge","6-8Mb",107,743.674498,21,0.0937773882559159,0.054218551456819,5.09523809523809,35.4130713333333
"21","refuge","8-10MB",94,847.866871,21,0.0823838737949167,0.0618148312164465,4.47619047619048,40.3746129047619
"22","refuge","10-20Mb",217,3111.370257,21,0.190184049079755,0.226838474136262,10.3333333333333,148.160488428571
"23","refuge","20Mb-30Mb",93,2245.92787,21,0.0815074496056091,0.1637422771863,4.42857142857143,106.948946190476
"24","refuge","30Mb-40Mb",47,1618.915031,21,0.0411919368974584,0.118029094917937,2.23809523809524,77.091191952381
"25","refuge","40Mb-50Mb",26,1157.088056,21,0.0227870289219982,0.0843590017850883,1.23809523809524,55.0994312380952
"26","refuge","50Mb-60Mb",11,606.632394,21,0.00964066608238387,0.0442273195570332,0.523809523809524,28.8872568571429
"27","refuge","60Mb-70Mb",8,509.77134,21,0.007011393514461,0.0371655390944999,0.380952380952381,24.2748257142857
"28","refuge","70Mb-80Mb",6,442.954105,21,0.00525854513584575,0.0322941421274227,0.285714285714286,21.0930526190476
"29","refuge","80Mb-90Mb",3,258.338493,21,0.00262927256792287,0.0188345020753926,0.142857142857143,12.301833
"30","refuge","90Mb-100Mb",2,189.636735,21,0.00175284837861525,0.0138257115207689,0.0952380952380952,9.03032071428571
"31","refuge",">100Mb",3,331.311739,21,0.00262927256792287,0.0241547109891883,0.142857142857143,15.7767494761905
