"sample","chromosome","start","end","length_bp","n_markers","quality"
"E10F-1",1,7119,3782387,3775269,204,75.9
"E10F-1",1,52036997,74761341,22724345,504,73
"E10F-1",1,75863876,79531121,3667246,160,53.5
"E10F-1",1,115322794,123714598,8391805,194,65
"E10F-1",1,136700433,149451719,12751287,424,83.3
"E10F-1",1,206979976,235092332,28112357,1227,93.1
"E10F-1",1,239795075,241417019,1621945,196,81.6
"E13M-1",1,24627470,33913310,9285841,300,70.3
"E13M-1",1,46742019,51998336,5256318,159,59.1
"E13M-1",1,62716341,102462226,39745886,1150,91.3
"E13M-1",1,227285430,240061122,12775693,1056,94.7
"E14F-1",1,10034713,13030273,2995561,163,59.9
"E14F-1",1,68848294,119497672,50649379,1614,92.4
"E14F-1",1,178302707,181583187,3280481,187,75
"E14F-1",1,203733019,212781394,9048376,305,81.9
"E18F-1",1,14604145,17058834,2454690,110,55.6
"E18F-1",1,34668233,51884383,17216151,495,88.9
"E18F-1",1,95858586,102464998,6606413,209,62.8
"E18F-1",1,129117217,133023858,3906642,113,33.4
"E18F-1",1,148992384,152374554,3382171,94,36.5
"E19M-2A",1,7343012,17624402,10281391,509,79.7
"E19M-2A",1,75863876,103474667,27610792,895,93.1
"E24M-1",1,7119,2519190,2512072,124,32.2
"E24M-1",1,3551076,7003968,3452893,327,71.8
"E24M-1",1,22363695,26637850,4274156,202,41.8
"E24M-1",1,173344939,176930786,3585848,140,57.3
"E24M-1",1,240077991,241417019,1339029,158,83.4
"E25F-1",1,7119,3520617,3513499,181,82.4
"E25F-1",1,18820348,59883708,41063361,1201,93.3
"E25F-1",1,179956911,182087373,2130463,100,30.9
"E25F-1",1,200288045,205454917,5166873,150,50.5
"E25F-1",1,223071897,227204930,4133034,158,56.9
"E28F-1",1,1831715,4055302,2223588,175,59.3
"E28F-1",1,218560316,234566133,16005818,780,86.2
"E29M-1",1,34668233,48350903,13682671,384,84.9
"E29M-1",1,123566315,133537535,9971221,346,84.1
"E29M-1",1,219121394,234823738,15702345,820,90.4
"E30M-1",1,7911769,9913264,2001496,133,31.2
"E30M-1",1,120909280,139851201,18941922,585,86.5
"E30M-1",1,191554569,196791593,5237025,324,86
"E31M-2",1,7119,5493682,5486564,357,84.8
"E31M-2",1,18409883,26637850,8227968,388,82.9
"E31M-2",1,96702566,101079028,4376463,142,34.9
"E31M-2",1,226824685,233797483,6972799,448,87.2
"E32M-1",1,102624525,120730378,18105854,555,87.7
"E32M-1",1,232618221,234823738,2205518,170,64.8
"E32M-1",1,237641436,239056493,1415058,123,61.3
"E33M-1",1,35355089,48338682,12983594,308,81
"E34M-2A",1,22506017,26637850,4131834,196,53.1
"E34M-2A",1,124365297,156487589,32122293,992,93.6
"E34M-2A",1,223183234,231645889,8462656,448,83.5
"E34M-2A",1,233581932,241417019,7835088,813,89.3
"E35M-2A",1,79560621,102464998,22904378,728,88.7
"E35M-2A",1,114589846,123952384,9362539,231,74
"E35M-2A",1,197361275,199440975,2079701,105,33.6
"E36F-2A",1,23907421,48350903,24443483,712,89.1
"E36F-2A",1,176554056,178527891,1973836,205,76.2
"E36F-2A",1,226129711,235469448,9339738,595,92.2
"E37F-1",1,1831715,32032573,30200859,1583,95.3
"E37F-1",1,34718518,48350903,13632386,388,85.7
"E37F-1",1,128735559,134389421,5653863,172,62.7
"E37F-1",1,139245236,141178273,1933038,85,42.1
"E37F-1",1,196259498,241417019,45157522,2319,98.3
"LAO01M-2A",1,4919832,6680055,1760224,162,67.1
"LAO01M-2A",1,22363695,66083220,43719526,1266,92
"LAO01M-2A",1,74347139,77420261,3073123,134,33.8
"LAO01M-2A",1,97072300,122293921,25221622,804,93.3
"LAO01M-2A",1,137071899,180327190,43255292,1353,95.3
"LAO01M-2A",1,232165252,233501026,1335775,96,43.8
"LAO03M-1",1,52626286,65573726,12947441,273,68.5
"LAO03M-1",1,73937441,79827462,5890022,223,64.7
"LAO03M-1",1,105770400,207913243,102142844,3294,96.4
"LAO03M-1",1,227678955,238852454,11173500,849,91.7
"LAO03M-1",1,239332742,241417019,2084278,239,84.2
"LAO06M-2A",1,22363695,65683918,43320224,1245,90.6
"LAO06M-2A",1,105887181,114141005,8253825,206,55.1
"LAO06M-2A",1,158486036,176930786,18444751,432,80.6
"LAO06M-2A",1,191837247,229410662,37573416,1618,96.1
"LAO06M-2A",1,232165252,233501026,1335775,98,47.3
"LAO06M-2A",1,235469448,238811357,3341910,342,83.5
"LO01F-1",1,81097855,96531304,15433450,430,78.6
"LO01F-1",1,210553175,213768294,3215120,134,58
"LO03M-1",1,5541386,10346230,4804845,370,82.3
"LO03M-1",1,26701767,66483918,39782152,1069,90.5
"LO04M-1",1,65724656,79833266,14108611,409,83.5
"LO04M-1",1,105887181,114094824,8207644,207,58.9
"LO04M-1",1,158486036,171481146,12995111,250,64.5
"LO04M-1",1,178804470,233232564,54428095,2359,97.3
"LO04M-1",1,236504011,237348298,844288,102,45.6
"OF289-2",1,4919832,20357122,15437291,897,93.4
"OF289-2",1,29955063,65683918,35728856,872,88.4
"OF289-2",1,106069263,120078762,14009500,328,69.8
"OF289-2",1,129419432,171460718,42041287,1062,90
"OF289-2",1,232165252,233501026,1335775,93,43.2
"OF289-2",1,239332742,241417019,2084278,243,84
"OF304-1A",1,22373796,37439258,15065463,498,84.3
"OF304-1A",1,49417682,73844300,24426619,563,86.2
"OF304-1A",1,105887181,136324202,30437022,842,90.2
"OF304-1A",1,158486036,176930786,18444751,428,80.8
"OF304-1A",1,232165252,233501026,1335775,94,41.2
"OM258-2",1,99970767,171748959,71778193,1727,93.2
"OM258-2",1,178804470,188773874,9969405,346,81.3
"OM270-2",1,7119,4766205,4759087,306,78.7
"OM270-2",1,74347139,79833266,5486128,218,63.4
"OM270-2",1,105887181,114141005,8253825,202,52.9
"OM270-2",1,158486036,171748959,13262924,237,62.6
"OM274-3B",1,18701886,25247783,6545898,306,80.2
"OM274-3B",1,50126360,57423107,7296748,196,61.2
"OM274-3B",1,99579961,122293921,22713961,688,89.6
"OM274-3B",1,158486036,171481146,12995111,244,61.6
"OM276-1",1,8079525,18637911,10558387,571,93.4
"OM276-1",1,22506017,26811463,4305447,198,58.8
"OM276-1",1,42612131,62138287,19526157,519,90.8
"OM279-1",1,7119,2352552,2345434,103,55
"OM279-1",1,193586478,199573302,5986825,329,76.1
"OM279-1",1,235887461,237172333,1284873,118,34.6
"OM283-2",1,7119,4478421,4471303,289,91.5
"OM283-2",1,7223467,27583861,20360395,1005,91.4
"OM283-2",1,29955063,37439258,7484196,194,61.3
"OM283-2",1,49417682,74188383,24770702,573,85.4
"OM283-2",1,79196309,93404457,14208149,430,80.7
"OM283-2",1,99970767,119975685,20004919,635,87
"OM283-2",1,137339686,141291141,3951456,153,71.8
"OM283-2",1,158486036,177059694,18573659,439,80.1
"OM283-2",1,177462786,193291131,15828346,760,92.3
"OM283-2",1,237241219,238811357,1570139,159,67.8
"OM290-2",1,7119,2352552,2345434,106,44.5
"OM290-2",1,20483745,25247783,4764039,218,65.9
"OM290-2",1,49417682,62138287,12720606,313,75
"OM290-2",1,105887181,123720968,17833788,444,83.4
"OM290-2",1,176978825,178046403,1067579,141,70.3
"OM290-2",1,230677371,233115536,2438166,112,62.7
"OM292-2",1,7119,4847340,4840222,290,82.8
"OM292-2",1,73955083,82149012,8193930,348,72.9
"OM292-2",1,91822572,98789886,6967315,238,58.4
"OM292-2",1,158486036,176930786,18444751,395,82.1
"OM292-2",1,215038044,227203999,12165956,408,78.1
"OM292-2",1,237544678,239503592,1958915,181,62.5
"OM301-1A",1,7119,4753900,4746782,299,75.9
"OM301-1A",1,5028290,9048230,4019941,282,68.5
"OM301-1A",1,74455956,122293921,47837966,1531,92.8
"OM301-1A",1,158486036,171481146,12995111,239,58
"OM318-2",1,7119,4819287,4812169,302,72.4
"OM318-2",1,5028290,6680055,1651766,140,36.9
"OM318-2",1,74347139,153285883,78938745,2461,95.6
"OM318-2",1,158486036,176930786,18444751,411,81.8
"OM318-2",1,177071423,190861503,13790081,689,90.1
"OM318-2",1,236099889,238811357,2711469,260,77.8
"OM331-1A",1,52036997,74188383,22151387,421,71.4
"OM331-1A",1,110705901,118840438,8134538,168,66.1
"OM331-1A",1,136638459,149451719,12813261,350,73.6
"OM331-1A",1,203438827,217132453,13693627,392,82.5
"OM331-1A",1,233780540,235686088,1905549,158,48.1
"Y22F-1",1,156549466,188470544,31921079,937,94.7
"Y27M-1",1,52626286,79531121,26904836,696,62.8
"Y28M-1",1,25025102,61712110,36687009,1036,91.2
"Y28M-1",1,232618221,235007879,2389659,188,66.9
"Y29F-1",1,22506017,75533791,53027775,1317,89.1
"Y29F-1",1,237521159,241417019,3895861,396,90
"Y30F-1",1,20317968,78970782,58652815,1676,94.7
"Y30F-1",1,133088697,139851201,6762505,204,54.1
"Y31F-1",1,7119,4478421,4471303,266,82.2
"Y31F-1",1,46014366,73475516,27461151,636,84.6
"Y31F-1",1,75863876,79232335,3368460,137,45.6
"Y31F-1",1,227811578,233329646,5518069,318,82.1
"Y32F-1",1,46442,2519190,2472749,119,56.7
"Y32F-1",1,4150164,6658629,2508466,220,62.5
"Y32F-1",1,46872183,55843732,8971550,255,70
"Y32F-1",1,75863876,80010780,4146905,186,63.1
"Y32F-1",1,210338444,213084314,2745871,104,67
"E10F-1",2,58551996,65081065,6529070,244,84.4
"E13M-1",2,17053,2337280,2320228,170,79.7
"E13M-1",2,3778107,6906783,3128677,203,72
"E13M-1",2,50685739,55949922,5264184,114,43
"E13M-1",2,59004118,72904135,13900018,545,89.5
"E13M-1",2,103184595,116713692,13529098,322,87.2
"E13M-1",2,166633062,167996129,1363068,142,63
"E14F-1",2,3159398,8573172,5413775,313,74.9
"E14F-1",2,99622839,134680464,35057626,1012,94.2
"E14F-1",2,147511657,166603300,19091644,883,93.6
"E18F-1",2,17053,2602677,2585625,209,59.4
"E18F-1",2,8827336,15079719,6252384,305,60.2
"E18F-1",2,123611884,137960205,14348322,287,55.8
"E19M-2A",2,65825554,78282486,12456933,467,88.7
"E24M-1",2,101569811,108154692,6584882,132,69.8
"E24M-1",2,169097854,170680606,1582753,128,83.7
"E25F-1",2,17053,1052751,1035699,69,30.3
"E25F-1",2,1525715,2995291,1469577,132,63.5
"E25F-1",2,41399854,58962861,17563008,424,79.3
"E25F-1",2,166657461,167672704,1015244,94,40.8
"E27M-1",2,96604008,116713692,20109685,396,89.6
"E28F-1",2,17053,2089992,2072940,146,64.5
"E28F-1",2,127161093,152893059,25731967,458,73.1
"E28F-1",2,155422560,167620744,12198185,687,91.7
"E29M-1",2,127161093,152980235,25819143,518,76.9
"E29M-1",2,166633062,168032823,1399762,152,60.4
"E30M-1",2,35542184,47755670,12213487,358,82.1
"E30M-1",2,64865598,67594609,2729012,187,69.7
"E30M-1",2,73341441,107796736,34455296,954,92.8
"E30M-1",2,151793655,157851912,6058258,253,68.3
"E30M-1",2,168549446,170680606,2131161,162,80.7
"E31M-2",2,28863548,38780496,9916949,306,74.8
"E31M-2",2,101569811,108154692,6584882,134,71.2
"E32M-1",2,1525715,3853204,2327490,219,70.5
"E32M-1",2,7902770,12268385,4365616,168,38.9
"E32M-1",2,64865598,67594609,2729012,179,68.9
"E32M-1",2,73190084,107796736,34606653,930,93.3
"E32M-1",2,168584070,170680606,2096537,162,77.1
"E33M-1",2,120403067,136166395,15763329,335,55.3
